ticker,ADI,AMAT,AMD,AVGO,INTC,KLAC,LRCX,MU,NVDA,QCOM,TXN
ADI,1.0,0.46333313613819227,0.4888273052298706,0.6280271973032758,0.2346483652494602,0.4381470855645331,0.28627739852667833,0.4048229707776851,0.44865972574141155,0.4990586714386575,0.7275374095556096
AMAT,0.46333313613819227,1.0,0.34951080526863865,0.705451641180245,0.18315960219952987,0.5098857550983699,0.5726343141353899,0.43436813852295836,0.39533092914564666,0.39328935128497067,0.5441669547725206
AMD,0.4888273052298706,0.34951080526863865,1.0,0.4691177533729198,0.3286150476367611,0.47364338621438024,0.32030923161531294,0.3808517626526621,0.6409653275114862,0.2428708739781102,0.475228299577625
AVGO,0.6280271973032758,0.705451641180245,0.4691177533729198,1.0,0.31168557348048365,0.6336828947351669,0.45420160214592786,0.5446150174641858,0.6362279401255483,0.6232242923578454,0.7721229371003834
INTC,0.2346483652494602,0.18315960219952987,0.3286150476367611,0.31168557348048365,1.0,0.2866744217996376,0.12004904896874022,0.2790544026907167,0.29005629669233274,0.15522426846633416,0.4546372158999757
KLAC,0.4381470855645331,0.5098857550983699,0.47364338621438024,0.6336828947351669,0.2866744217996376,1.0,0.5545673317066845,0.5421080552822335,0.6494817585576208,0.4829227361357631,0.4597382049690237
LRCX,0.28627739852667833,0.5726343141353899,0.32030923161531294,0.45420160214592786,0.12004904896874022,0.5545673317066845,1.0,0.6880620039858871,0.45059726112564064,0.3197784612340848,0.4754461449418706
MU,0.4048229707776851,0.43436813852295836,0.3808517626526621,0.5446150174641858,0.2790544026907167,0.5421080552822335,0.6880620039858871,1.0,0.503897481366886,0.31902508161163445,0.513065763239793
NVDA,0.44865972574141155,0.39533092914564666,0.6409653275114862,0.6362279401255483,0.29005629669233274,0.6494817585576208,0.45059726112564064,0.503897481366886,1.0,0.3150307658111493,0.5835099372281741
QCOM,0.4990586714386575,0.39328935128497067,0.2428708739781102,0.6232242923578454,0.15522426846633416,0.4829227361357631,0.3197784612340848,0.31902508161163445,0.3150307658111493,1.0,0.5638723025316004
TXN,0.7275374095556096,0.5441669547725206,0.475228299577625,0.7721229371003834,0.4546372158999757,0.4597382049690237,0.4754461449418706,0.513065763239793,0.5835099372281741,0.5638723025316004,1.0
