source_ticker,target_ticker,lag,correlation,pvalue,n
ADI,AMAT,1,-0.2535790469414075,0.10514763574585739,42
ADI,AMD,1,-0.15084673724468362,0.340302612107368,42
ADI,AVGO,1,-0.2933999714184566,0.0593212980880784,42
ADI,INTC,1,-0.032559552428222734,0.8378094972913084,42
ADI,KLAC,1,-0.08694001048889932,0.5840556205390095,42
ADI,LRCX,1,-0.031239886679138754,0.8443005891665665,42
ADI,MU,1,-0.008250097512080837,0.9586450122170613,42
ADI,NVDA,1,-0.18934611929100267,0.22976224398161715,42
ADI,QCOM,1,-0.09137055519109509,0.5649635857725839,42
ADI,TXN,1,-0.17755222051363204,0.2606269635744469,42
AMAT,ADI,1,-0.11184707406760734,0.4806893095839593,42
AMAT,AMD,1,0.029654751215490396,0.8521108872567016,42
AMAT,AVGO,1,-0.1868276984808158,0.2361328842441286,42
AMAT,INTC,1,0.06498855429884758,0.6826157830368649,42
AMAT,KLAC,1,-0.2521253817056115,0.10722514745944811,42
AMAT,LRCX,1,-0.19110208274005816,0.22539054352023546,42
AMAT,MU,1,0.03689294188694452,0.8165714466834859,42
AMAT,NVDA,1,0.02581275041801804,0.8710977987833317,42
AMAT,QCOM,1,-0.2719579326825055,0.08145484113065171,42
AMAT,TXN,1,-0.07079709458414526,0.655936112885946,42
AMD,ADI,1,-0.13433772284839007,0.3963330091165931,42
AMD,AMAT,1,-0.21342772606403573,0.17474169911426296,42
AMD,AVGO,1,-0.189890190890445,0.2284015496719003,42
AMD,INTC,1,-0.08787814565380891,0.5799889981524857,42
AMD,KLAC,1,-0.14886583209091492,0.34675471864228835,42
AMD,LRCX,1,-0.02944509385616298,0.8531449756365719,42
AMD,MU,1,0.09921179975315714,0.5319005831436383,42
AMD,NVDA,1,-0.32477199561041564,0.03586067802318871,42
AMD,QCOM,1,0.004405860511527594,0.9779080855576188,42
AMD,TXN,1,-0.16059939699515074,0.3096259990948953,42
AVGO,ADI,1,-0.11857313362993724,0.45452311300032244,42
AVGO,AMAT,1,-0.3367693009982705,0.029198663871718544,42
AVGO,AMD,1,-0.09906277848433821,0.5325200309869409,42
AVGO,INTC,1,-0.013968691090129106,0.9300359001950831,42
AVGO,KLAC,1,-0.25181554181383065,0.10767197219409241,42
AVGO,LRCX,1,-0.18406767829160037,0.24325150581948107,42
AVGO,MU,1,-0.07381500169272948,0.6422366702851963,42
AVGO,NVDA,1,-0.17155113348875775,0.27734432126811503,42
AVGO,QCOM,1,-0.21916879528815292,0.16315675226275372,42
AVGO,TXN,1,-0.14157700251959063,0.37113418479788196,42
INTC,ADI,1,-0.23718414513224853,0.13042829804237055,42
INTC,AMAT,1,-0.08912291472733909,0.5746129857659792,42
INTC,AMD,1,0.12118436268436004,0.4445769535616346,42
INTC,AVGO,1,-0.20877000152388894,0.18456555060320778,42
INTC,KLAC,1,-0.2307487187837788,0.14150314637134898,42
INTC,LRCX,1,-0.07942329890802924,0.6170896690386127,42
INTC,MU,1,-0.10053434305376534,0.5264185043444343,42
INTC,NVDA,1,-0.16943980161865632,0.28338929255885326,42
INTC,QCOM,1,-0.13506749348882313,0.3937487041074115,42
INTC,TXN,1,-0.32663193866418705,0.03475297732637461,42
